TimeSinceStart,UserHeight,TrialNo,TrialID,ParticipantID,ExperimentSequence,Layout,Difficulty,TrialState,CameraPosition.x,CameraPosition.y,CameraPosition.z,CameraEulerAngles.x,CameraEulerAngles.y,CameraEulerAngles.z,MainControllerPosition.x,MainControllerPosition.y,MainControllerPosition.z,MainControllerEulerAngles.x,MainControllerEulerAngles.y,MainControllerEulerAngles.z,MainPadPressed,MainTriggerPressed
51.38667,0.9073585,1,Training,1,1,Flat,2,prepare,-0.1360901,1.727847,0.1184737,0.5820616,354.0154,357.1244,-0.1619107,1.237759,0.3584058,335.6552,356.5216,357.5336,False,False
51.39778,0.9073585,1,Training,1,1,Flat,2,prepare,-0.1384238,1.728619,0.1179517,0.04322331,355.1557,356.7736,-0.1589171,1.23825,0.3579493,335.9558,357.8873,356.7845,False,False
51.40889,0.9073585,1,Training,1,1,Flat,2,prepare,-0.1407763,1.729259,0.1175147,359.512,356.2941,356.4617,-0.155666,1.239172,0.3573995,336.1551,359.2899,356.6971,False,False
51.42,0.9073585,1,Training,1,1,Flat,2,prepare,-0.1431109,1.729878,0.117114,359.0215,357.4575,356.1754,-0.1529639,1.239733,0.3565979,336.3351,0.4539298,357.1053,False,False
51.43111,0.9073585,1,Training,1,1,Flat,2,prepare,-0.1453002,1.730318,0.1167576,358.5862,358.6241,355.8938,-0.1499975,1.239838,0.355531,336.3579,1.586535,357.7532,False,False
51.44222,0.9073585,1,Training,1,1,Flat,2,prepare,-0.147419,1.730671,0.1164378,358.1845,359.7964,355.6337,-0.1472682,1.240388,0.354583,336.1714,2.700029,358.191,False,False
51.45333,0.9073585,1,Training,1,1,Flat,2,prepare,-0.1494201,1.730869,0.1162258,357.8059,1.001562,355.4019,-0.1441895,1.241197,0.3531628,335.6287,3.890883,358.5728,False,False
51.46445,0.9073585,1,Training,1,1,Flat,2,prepare,-0.1513098,1.730886,0.1160643,357.4642,2.215475,355.1904,-0.1408654,1.242354,0.3517668,335.1441,5.331012,358.7957,False,False
51.47556,0.9073585,1,Training,1,1,Flat,2,prepare,-0.1532497,1.730808,0.1158705,357.1395,3.442483,354.9701,-0.1372925,1.243138,0.3504357,334.8097,6.70585,359.1456,False,False
51.48667,0.9073585,1,Training,1,1,Flat,2,prepare,-0.1549317,1.730624,0.1158232,356.8521,4.645504,354.8021,-0.1342397,1.244057,0.3490326,334.329,7.733108,0.3257864,False,False
51.49778,0.9073585,1,Training,1,1,Flat,2,prepare,-0.1566209,1.730451,0.1157701,356.5798,5.837308,354.6482,-0.1311654,1.2443,0.3467033,334.0107,9.019716,0.558436,False,False
51.50889,0.9073585,1,Training,1,1,Flat,2,prepare,-0.158064,1.730157,0.1157321,356.3568,7.016501,354.5327,-0.1281804,1.245006,0.3446996,333.9535,10.04106,0.6328851,False,False
51.52,0.9073585,1,Training,1,1,Flat,2,prepare,-0.159447,1.72993,0.1157339,356.13,8.222297,354.3799,-0.1256064,1.245165,0.3436446,334.5438,10.72801,1.323048,False,False
